vowel F1(Hz) F2(Hz) F3(Hz) rateF2(Hz/ms) f0Median(Hz) Baseline(Hz) SpectEmph(dB) 
I 401 1988 2128 1.5 96 96 32.2 
eU 488 1115 1712 -5.7 113 110 30.4 
a 661 1161 1982 -0.1 111 110 36.3 
I 396 1796 2011 8.7 127 124 29.4 
eR 420 1485 1618 -0.5 93 88 33.6 
i 412 1927 2146 17.6 130 116 39.8 
U 520 1136 2248 -6.8 106 104 35.2 
eh 659 1426 1785 2.6 114 112 52.5 
eh 642 1586 1831 1.0 156 107 42.9 
i 462 1802 2019 1.7 148 133 29.1 
a 737 1314 1990 0.8 136 133 32.0 
i 399 1755 2014 7.4 133 132 33.5 
a 577 1275 1888 -4.1 129 129 39.1 
I 383 1680 1837 11.3 125 125 28.6 
eR 445 1598 1848 3.9 142 135 32.1 
U 386 1382 1639 -3.2 162 160 22.5 
E 432 1357 1716 -2.7 166 152 27.3 
oI 470 1363 2020 -5.2 136 131 33.0 
O 494 1190 1543 -0.1 158 142 32.0 
aI 566 1388 1650 5.2 140 139 35.7 
a 745 1308 1872 4.0 124 118 39.0 
O 589 1097 1416 2.9 124 123 31.9 
e 478 1468 1799 -7.7 127 126 26.7 
aI 517 1735 1808 -0.6 125 119 45.6 
e 409 1903 2113 0.3 129 126 28.0 
A 669 1475 1677 -3.5 126 123 42.4 
E 413 1771 1997 3.4 121 118 35.2 
oU 506 734 2222 -2.3 117 101 26.6 
eh 593 1701 1911 9.5 121 119 41.1 
A 624 1567 1942 3.2 143 142 37.6 
E 442 1796 1984 7.4 142 141 29.8 
i 348 1947 2151 -1.7 154 153 25.2 
eU 539 1145 1921 -7.4 125 120 30.5 
a 627 1223 1859 -1.3 120 120 31.5 
I 445 1454 1903 2.7 133 122 35.8 
eR 489 1587 1775 5.3 116 107 49.4 
eh 546 1666 2451 -1.2 107 104 52.8 
a 794 1321 1883 1.6 123 123 32.4 
A 459 1271 1567 -2.5 124 123 27.0 
a 663 1305 1776 -4.0 118 116 29.7 
I 371 1827 2145 2.3 114 114 26.7 
Ia 404 1755 2076 -18.8 108 107 37.7 
aU 660 1120 1665 -4.7 117 109 46.1 
a 612 1195 2101 -5.2 112 109 32.8 
A 492 1049 1733 -1.2 114 114 28.4 
a 705 1363 1889 3.4 130 126 38.1 
i 436 1775 2066 3.7 142 133 28.1 
E 461 1776 1783 6.2 160 159 28.4 
oI 409 1768 1963 -3.3 168 161 39.3 
U 442 1060 1966 -6.5 140 140 32.6 
a 730 1218 2384 5.2 148 145 34.7 
